training_id,brand,model,cc,weight_kg,fuel_type,riding_style,avg_speed_kmh,rider_weight,city_percentage,route_id,origin_id,destination_id,distance_km,duration_min,elevation_gain_m,min_elevation_m,max_elevation_m,temperature_c,humidity_percent,rain_mm,fuel_consumption_kml
28,Yamaha,NMAX155,155,132,Pertalite,Normal,62,91,34,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,39.0
29,Suzuki,Address,125,97,Pertalite,Santai,61,65,95,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,45.3
30,Benelli,Panarea125,125,107,Pertamax,Santai,56,92,85,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,47.9
31,Suzuki,Nex II,115,93,Pertamax,Santai,57,80,65,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,49.5
32,Kawasaki,KLX150,150,118,Pertalite,Normal,70,61,54,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,37.6
33,Kawasaki,W175,177,126,Pertamax,Agresif,37,72,90,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,34.6
34,TVS,Ntorq125,125,118,Pertalite,Santai,58,70,86,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,47.6
35,Yamaha,Fazzio,125,95,Pertamax,Normal,67,89,68,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,44.4
36,Kawasaki,KLX150,150,118,Pertamax,Normal,62,54,88,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,41.0
37,TVS,Ntorq125,125,118,Pertamax,Normal,38,72,42,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,46.3
38,Yamaha,NMAX155,155,132,Pertalite,Normal,55,51,71,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,41.2
39,TVS,Ntorq125,125,118,Pertalite,Santai,48,95,58,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,48.5
40,Yamaha,Fazzio,125,95,Pertalite,Normal,48,71,73,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,46.6
41,Yamaha,NMAX155,155,132,Pertamax,Normal,57,92,74,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,37.8
42,Kawasaki,W175,177,126,Pertalite,Santai,56,73,42,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,39.1
43,Yamaha,Fazzio,125,95,Pertamax,Santai,69,70,55,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,48.5
44,Kawasaki,KLX150,150,118,Pertalite,Normal,51,53,37,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,42.8
45,Yamaha,Fazzio,125,95,Pertalite,Normal,40,62,63,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,44.9
46,Suzuki,Nex II,115,93,Pertalite,Agresif,68,89,64,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,40.1
47,TVS,Ntorq125,125,118,Pertamax,Santai,39,82,53,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,48.2
48,Honda,Vario 125,125,112,Pertamax,Santai,35,53,74,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,47.7
49,Yamaha,Mio M3,125,94,Pertamax,Normal,47,91,36,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,47.7
50,Benelli,Panarea125,125,107,Pertamax,Normal,36,84,56,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,44.7
51,Benelli,Panarea125,125,107,Pertalite,Santai,62,93,67,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,46.2
52,Benelli,Panarea125,125,107,Pertamax,Santai,42,69,49,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,48.9
53,Kawasaki,KLX150,150,118,Pertamax,Santai,70,71,42,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,43.9
54,Benelli,Panarea125,125,107,Pertalite,Agresif,62,90,92,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,37.8
55,Kawasaki,W175,177,126,Pertamax,Santai,38,91,76,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,37.5
56,Yamaha,Mio M3,125,94,Pertamax,Agresif,57,67,83,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,40.3
57,TVS,Ntorq125,125,118,Pertalite,Normal,43,90,61,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,44.7
58,Yamaha,Mio M3,125,94,Pertamax,Agresif,46,73,78,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,40.4
59,Kawasaki,W175,177,126,Pertalite,Santai,40,55,33,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,41.6
60,Benelli,Panarea125,125,107,Pertamax,Santai,70,86,79,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,43.9
61,Honda,Beat CBS,110,89,Pertamax,Santai,59,66,43,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,52.3
62,Honda,Beat CBS,110,89,Pertamax,Santai,41,54,81,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,53.3
63,Honda,Vario 125,125,112,Pertalite,Santai,62,55,76,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,46.0
64,Benelli,Panarea125,125,107,Pertalite,Normal,40,55,34,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,48.1
65,Benelli,Panarea125,125,107,Pertamax,Santai,57,60,55,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,47.8
66,Suzuki,Address,125,97,Pertalite,Agresif,59,75,95,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,37.8
67,Suzuki,Nex II,115,93,Pertamax,Santai,42,51,93,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,48.9
68,TVS,Ntorq125,125,118,Pertalite,Normal,61,65,39,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,45.9
69,Yamaha,Mio M3,125,94,Pertamax,Normal,43,81,38,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,46.7
70,Benelli,Panarea125,125,107,Pertamax,Agresif,69,63,60,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,38.5
71,Suzuki,Nex II,115,93,Pertamax,Santai,53,53,68,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,50.2
72,TVS,Ntorq125,125,118,Pertamax,Normal,46,58,56,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,48.9
73,Benelli,Panarea125,125,107,Pertalite,Normal,62,67,35,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,44.7
74,Yamaha,NMAX155,155,132,Pertamax,Santai,64,74,50,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,42.6
75,Honda,Vario 125,125,112,Pertamax,Normal,36,90,95,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,43.9
76,Suzuki,Address,125,97,Pertamax,Agresif,61,72,49,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,40.7
77,Benelli,Panarea125,125,107,Pertalite,Normal,69,73,31,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,43.7
78,TVS,Ntorq125,125,118,Pertamax,Agresif,52,95,33,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,43.0
79,Suzuki,Address,125,97,Pertamax,Normal,69,89,69,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,43.2
80,Honda,Beat CBS,110,89,Pertalite,Normal,65,71,77,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,46.9
81,Benelli,Panarea125,125,107,Pertamax,Agresif,36,71,76,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,43.5
82,Yamaha,Mio M3,125,94,Pertamax,Santai,52,84,36,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,50.9
83,Suzuki,Nex II,115,93,Pertamax,Santai,58,51,81,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,48.4
84,Benelli,Panarea125,125,107,Pertamax,Normal,60,71,58,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,46.2
85,TVS,Ntorq125,125,118,Pertamax,Agresif,63,85,61,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,38.9
86,Benelli,Panarea125,125,107,Pertalite,Normal,38,51,84,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,46.0
87,Kawasaki,W175,177,126,Pertalite,Santai,51,70,46,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,40.4
88,TVS,Ntorq125,125,118,Pertalite,Santai,38,65,30,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,46.9
89,Suzuki,Address,125,97,Pertamax,Agresif,63,65,34,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,42.1
90,Kawasaki,W175,177,126,Pertalite,Normal,68,70,95,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,33.9
91,Benelli,Panarea125,125,107,Pertalite,Normal,60,83,61,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,42.5
92,Benelli,Panarea125,125,107,Pertamax,Santai,56,90,70,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,47.1
93,TVS,Ntorq125,125,118,Pertalite,Santai,40,81,60,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,47.2
94,Yamaha,Fazzio,125,95,Pertamax,Normal,46,71,65,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,48.6
95,Kawasaki,KLX150,150,118,Pertalite,Agresif,57,84,79,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,35.4
96,Yamaha,NMAX155,155,132,Pertalite,Agresif,45,83,82,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,34.8
97,Kawasaki,W175,177,126,Pertalite,Normal,57,71,83,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,36.8
98,Benelli,Panarea125,125,107,Pertalite,Santai,54,54,70,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,47.3
99,Benelli,Panarea125,125,107,Pertamax,Normal,36,85,62,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,44.6
100,Honda,Vario 125,125,112,Pertalite,Normal,65,63,69,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,42.4
101,Suzuki,Address,125,97,Pertamax,Santai,59,67,72,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,47.1
102,Benelli,Panarea125,125,107,Pertamax,Normal,63,62,91,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,45.6
103,Yamaha,Mio M3,125,94,Pertalite,Normal,61,80,71,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,44.4
104,Honda,Vario 125,125,112,Pertamax,Santai,65,58,83,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,46.9
105,Benelli,Panarea125,125,107,Pertalite,Agresif,54,56,89,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,41.1
106,TVS,Ntorq125,125,118,Pertalite,Santai,62,77,30,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,47.3
107,Honda,Vario 125,125,112,Pertalite,Agresif,40,57,93,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,41.6
108,Kawasaki,W175,177,126,Pertalite,Agresif,37,59,92,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,30.3
109,Honda,PCX160,160,132,Pertalite,Normal,62,95,77,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,36.7
110,TVS,Ntorq125,125,118,Pertamax,Santai,36,95,49,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,46.6
111,Suzuki,Address,125,97,Pertamax,Santai,47,51,66,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,48.2
112,Kawasaki,KLX150,150,118,Pertalite,Santai,61,52,95,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,41.0
113,Honda,PCX160,160,132,Pertamax,Normal,66,79,82,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,37.7
114,Honda,Beat CBS,110,89,Pertamax,Santai,60,90,90,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,46.7
115,Kawasaki,W175,177,126,Pertamax,Normal,59,89,70,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,34.7
116,Kawasaki,W175,177,126,Pertamax,Normal,46,66,75,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,40.1
117,Suzuki,Address,125,97,Pertalite,Santai,41,60,56,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,50.1
118,Kawasaki,KLX150,150,118,Pertamax,Santai,48,70,71,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,44.3
119,Suzuki,Nex II,115,93,Pertamax,Normal,66,93,84,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,46.2
120,Honda,Beat CBS,110,89,Pertalite,Agresif,46,94,95,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,41.1
121,Benelli,Panarea125,125,107,Pertalite,Normal,68,77,75,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,40.9
122,TVS,Ntorq125,125,118,Pertalite,Normal,36,66,35,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,47.2
123,Honda,PCX160,160,132,Pertamax,Santai,38,70,51,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,43.9
124,Benelli,Panarea125,125,107,Pertamax,Normal,48,70,60,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,47.8
125,Kawasaki,W175,177,126,Pertamax,Normal,52,94,75,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,38.4
126,Suzuki,Nex II,115,93,Pertalite,Normal,66,88,31,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,45.8
127,TVS,Ntorq125,125,118,Pertalite,Normal,49,54,74,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,43.8
128,Suzuki,Address,125,97,Pertalite,Normal,35,78,82,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,44.0
129,Kawasaki,KLX150,150,118,Pertamax,Santai,69,54,59,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,41.0
130,TVS,Ntorq125,125,118,Pertalite,Normal,60,80,41,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,44.3
131,Suzuki,Nex II,115,93,Pertamax,Agresif,59,53,81,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,41.8
132,Suzuki,Address,125,97,Pertalite,Normal,53,86,87,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,45.4
133,Honda,Beat CBS,110,89,Pertalite,Agresif,57,95,80,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,39.8
134,TVS,Ntorq125,125,118,Pertamax,Santai,57,95,57,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,48.2
135,Suzuki,Address,125,97,Pertalite,Normal,47,78,48,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,44.5
136,Suzuki,Nex II,115,93,Pertamax,Santai,43,66,72,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,51.8
137,Honda,Beat CBS,110,89,Pertalite,Normal,37,90,32,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,50.7
138,Benelli,Panarea125,125,107,Pertalite,Normal,41,93,58,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,46.5
139,Suzuki,Nex II,115,93,Pertamax,Normal,45,57,82,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,47.3
140,Yamaha,Mio M3,125,94,Pertalite,Agresif,58,79,64,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,41.8
141,Honda,Vario 125,125,112,Pertalite,Agresif,64,67,49,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,38.5
142,Honda,Vario 125,125,112,Pertalite,Normal,38,74,70,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,45.7
143,TVS,Ntorq125,125,118,Pertalite,Santai,46,77,48,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,49.3
144,Suzuki,Address,125,97,Pertamax,Normal,51,69,38,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,47.9
145,Yamaha,Fazzio,125,95,Pertamax,Santai,54,53,67,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,48.9
146,Yamaha,Mio M3,125,94,Pertamax,Normal,45,56,49,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,48.3
147,Yamaha,Fazzio,125,95,Pertalite,Agresif,41,63,86,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,41.3
148,Kawasaki,KLX150,150,118,Pertamax,Agresif,54,78,79,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,36.6
149,Kawasaki,KLX150,150,118,Pertalite,Normal,61,94,49,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,38.6
150,Suzuki,Address,125,97,Pertalite,Santai,51,92,95,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,44.2
151,Suzuki,Address,125,97,Pertalite,Santai,56,71,57,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,48.2
152,Yamaha,Fazzio,125,95,Pertalite,Agresif,39,58,81,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,41.1
153,Benelli,Panarea125,125,107,Pertalite,Normal,69,64,85,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,43.0
154,Honda,Beat CBS,110,89,Pertamax,Santai,55,58,38,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,53.4
155,Suzuki,Address,125,97,Pertalite,Normal,52,64,43,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,47.2
156,Kawasaki,W175,177,126,Pertamax,Agresif,36,76,44,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,34.8
157,Kawasaki,KLX150,150,118,Pertamax,Agresif,48,88,92,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,36.9
158,Benelli,Panarea125,125,107,Pertamax,Santai,51,59,63,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,50.1
159,Benelli,Panarea125,125,107,Pertalite,Normal,54,58,64,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,44.7
160,Benelli,Panarea125,125,107,Pertalite,Normal,69,79,80,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,40.7
161,Kawasaki,W175,177,126,Pertamax,Normal,53,60,41,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,39.3
162,Kawasaki,W175,177,126,Pertamax,Santai,45,67,43,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,43.2
163,Yamaha,Fazzio,125,95,Pertalite,Agresif,38,94,74,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,38.2
164,Suzuki,Nex II,115,93,Pertalite,Normal,54,67,95,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,47.6
165,Benelli,Panarea125,125,107,Pertamax,Santai,37,73,62,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,49.6
166,Honda,PCX160,160,132,Pertalite,Santai,53,73,62,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,42.8
167,Honda,Vario 125,125,112,Pertalite,Normal,49,79,48,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,45.1
168,TVS,Ntorq125,125,118,Pertalite,Normal,56,83,63,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,44.6
169,Kawasaki,KLX150,150,118,Pertamax,Normal,57,62,80,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,42.0
170,Yamaha,Fazzio,125,95,Pertalite,Normal,38,50,48,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,48.3
171,Kawasaki,KLX150,150,118,Pertamax,Agresif,41,63,65,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,39.5
172,Suzuki,Address,125,97,Pertamax,Normal,39,50,36,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,47.3
173,Benelli,Panarea125,125,107,Pertamax,Normal,53,90,56,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,46.2
174,Yamaha,NMAX155,155,132,Pertamax,Santai,61,73,93,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,42.4
175,TVS,Ntorq125,125,118,Pertamax,Normal,54,81,43,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,47.0
176,TVS,Ntorq125,125,118,Pertamax,Santai,54,95,79,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,47.7
177,Kawasaki,KLX150,150,118,Pertalite,Normal,41,82,75,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,40.8
178,Honda,PCX160,160,132,Pertalite,Agresif,65,74,44,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,33.8
179,Suzuki,Nex II,115,93,Pertalite,Santai,57,92,91,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,47.0
180,Kawasaki,W175,177,126,Pertamax,Normal,63,58,42,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,38.9
181,Yamaha,Fazzio,125,95,Pertamax,Santai,46,80,47,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,50.9
182,Honda,Vario 125,125,112,Pertamax,Normal,44,53,74,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,47.3
183,Benelli,Panarea125,125,107,Pertamax,Santai,65,94,88,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,43.3
184,TVS,Ntorq125,125,118,Pertamax,Santai,37,86,72,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,45.9
185,Kawasaki,KLX150,150,118,Pertamax,Agresif,68,89,71,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,33.6
186,Kawasaki,KLX150,150,118,Pertalite,Normal,48,90,70,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,40.6
187,Honda,Beat CBS,110,89,Pertamax,Normal,69,56,38,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,46.3
188,Honda,PCX160,160,132,Pertamax,Normal,39,55,76,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,41.5
