vehicle_id,brand,model,cc,transmission,year,weight_kg,fuel_type,fuel_tank_l
44,Kawasaki,KLX150,150,CVT,2021,118,Pertalite,"6,9"
45,Yamaha,Fazzio,125,CVT,2020,95,Pertalite,"5,1"
46,Suzuki,Nex II,115,CVT,2022,93,Pertalite,"3,6"
47,TVS,Ntorq125,125,CVT,2025,118,Pertamax,"5,8"
48,Honda,Vario 125,125,CVT,2022,112,Pertamax,"5,5"
49,Yamaha,Mio M3,125,CVT,2018,94,Pertamax,"4,2"
50,Benelli,Panarea125,125,CVT,2021,107,Pertamax,"4,6"
51,Benelli,Panarea125,125,CVT,2020,107,Pertalite,"4,6"
52,Benelli,Panarea125,125,CVT,2020,107,Pertamax,"4,6"
53,Kawasaki,KLX150,150,CVT,2022,118,Pertamax,"6,9"
54,Benelli,Panarea125,125,CVT,2021,107,Pertalite,"4,6"
55,Kawasaki,W175,177,Manual,2022,126,Pertamax,"13,5"
56,Yamaha,Mio M3,125,CVT,2021,94,Pertamax,"4,2"
57,TVS,Ntorq125,125,CVT,2022,118,Pertalite,"5,8"
58,Yamaha,Mio M3,125,CVT,2025,94,Pertamax,"4,2"
59,Kawasaki,W175,177,Manual,2021,126,Pertalite,"13,5"
60,Benelli,Panarea125,125,CVT,2020,107,Pertamax,"4,6"
61,Honda,Beat CBS,110,CVT,2019,89,Pertamax,"4,2"
62,Honda,Beat CBS,110,CVT,2021,89,Pertamax,"4,2"
63,Honda,Vario 125,125,CVT,2020,112,Pertalite,"5,5"
64,Benelli,Panarea125,125,CVT,2018,107,Pertalite,"4,6"
65,Benelli,Panarea125,125,CVT,2022,107,Pertamax,"4,6"
66,Suzuki,Address,125,CVT,2020,97,Pertalite,"5,2"
67,Suzuki,Nex II,115,CVT,2022,93,Pertamax,"3,6"
68,TVS,Ntorq125,125,CVT,2022,118,Pertalite,"5,8"
69,Yamaha,Mio M3,125,CVT,2019,94,Pertamax,"4,2"
70,Benelli,Panarea125,125,CVT,2019,107,Pertamax,"4,6"
71,Suzuki,Nex II,115,CVT,2018,93,Pertamax,"3,6"
72,TVS,Ntorq125,125,CVT,2022,118,Pertamax,"5,8"
73,Benelli,Panarea125,125,CVT,2020,107,Pertalite,"4,6"
74,Yamaha,NMAX155,155,CVT,2022,132,Pertamax,"7,1"
75,Honda,Vario 125,125,CVT,2019,112,Pertamax,"5,5"
76,Suzuki,Address,125,CVT,2021,97,Pertamax,"5,2"
77,Benelli,Panarea125,125,CVT,2019,107,Pertalite,"4,6"
78,TVS,Ntorq125,125,CVT,2025,118,Pertamax,"5,8"
79,Suzuki,Address,125,CVT,2025,97,Pertamax,"5,2"
80,Honda,Beat CBS,110,CVT,2020,89,Pertalite,"4,2"
81,Benelli,Panarea125,125,CVT,2020,107,Pertamax,"4,6"
82,Yamaha,Mio M3,125,CVT,2018,94,Pertamax,"4,2"
83,Suzuki,Nex II,115,CVT,2018,93,Pertamax,"3,6"
84,Benelli,Panarea125,125,CVT,2018,107,Pertamax,"4,6"
85,TVS,Ntorq125,125,CVT,2023,118,Pertamax,"5,8"
86,Benelli,Panarea125,125,CVT,2020,107,Pertalite,"4,6"
87,Kawasaki,W175,177,Manual,2024,126,Pertalite,"13,5"
88,TVS,Ntorq125,125,CVT,2025,118,Pertalite,"5,8"
89,Suzuki,Address,125,CVT,2025,97,Pertamax,"5,2"
90,Kawasaki,W175,177,Manual,2022,126,Pertalite,"13,5"
91,Benelli,Panarea125,125,CVT,2018,107,Pertalite,"4,6"
92,Benelli,Panarea125,125,CVT,2021,107,Pertamax,"4,6"
93,TVS,Ntorq125,125,CVT,2024,118,Pertalite,"5,8"
94,Yamaha,Fazzio,125,CVT,2021,95,Pertamax,"5,1"
95,Kawasaki,KLX150,150,CVT,2021,118,Pertalite,"6,9"
96,Yamaha,NMAX155,155,CVT,2021,132,Pertalite,"7,1"
97,Kawasaki,W175,177,Manual,2022,126,Pertalite,"13,5"
98,Benelli,Panarea125,125,CVT,2020,107,Pertalite,"4,6"
99,Benelli,Panarea125,125,CVT,2023,107,Pertamax,"4,6"
100,Honda,Vario 125,125,CVT,2020,112,Pertalite,"5,5"
101,Suzuki,Address,125,CVT,2019,97,Pertamax,"5,2"
102,Benelli,Panarea125,125,CVT,2021,107,Pertamax,"4,6"
103,Yamaha,Mio M3,125,CVT,2020,94,Pertalite,"4,2"
104,Honda,Vario 125,125,CVT,2021,112,Pertamax,"5,5"
105,Benelli,Panarea125,125,CVT,2019,107,Pertalite,"4,6"
106,TVS,Ntorq125,125,CVT,2018,118,Pertalite,"5,8"
107,Honda,Vario 125,125,CVT,2018,112,Pertalite,"5,5"
108,Kawasaki,W175,177,Manual,2019,126,Pertalite,"13,5"
109,Honda,PCX160,160,CVT,2020,132,Pertalite,"8,1"
110,TVS,Ntorq125,125,CVT,2024,118,Pertamax,"5,8"
111,Suzuki,Address,125,CVT,2023,97,Pertamax,"5,2"
112,Kawasaki,KLX150,150,CVT,2018,118,Pertalite,"6,9"
113,Honda,PCX160,160,CVT,2023,132,Pertamax,"8,1"
114,Honda,Beat CBS,110,CVT,2025,89,Pertamax,"4,2"
115,Kawasaki,W175,177,Manual,2024,126,Pertamax,"13,5"
116,Kawasaki,W175,177,Manual,2024,126,Pertamax,"13,5"
117,Suzuki,Address,125,CVT,2021,97,Pertalite,"5,2"
118,Kawasaki,KLX150,150,CVT,2024,118,Pertamax,"6,9"
119,Suzuki,Nex II,115,CVT,2021,93,Pertamax,"3,6"
120,Honda,Beat CBS,110,CVT,2025,89,Pertalite,"4,2"
121,Benelli,Panarea125,125,CVT,2018,107,Pertalite,"4,6"
122,TVS,Ntorq125,125,CVT,2019,118,Pertalite,"5,8"
123,Honda,PCX160,160,CVT,2022,132,Pertamax,"8,1"
124,Benelli,Panarea125,125,CVT,2023,107,Pertamax,"4,6"
125,Kawasaki,W175,177,Manual,2023,126,Pertamax,"13,5"
126,Suzuki,Nex II,115,CVT,2022,93,Pertalite,"3,6"
127,TVS,Ntorq125,125,CVT,2022,118,Pertalite,"5,8"
128,Suzuki,Address,125,CVT,2022,97,Pertalite,"5,2"
129,Kawasaki,KLX150,150,CVT,2022,118,Pertamax,"6,9"
130,TVS,Ntorq125,125,CVT,2025,118,Pertalite,"5,8"
131,Suzuki,Nex II,115,CVT,2021,93,Pertamax,"3,6"
132,Suzuki,Address,125,CVT,2025,97,Pertalite,"5,2"
133,Honda,Beat CBS,110,CVT,2018,89,Pertalite,"4,2"
134,TVS,Ntorq125,125,CVT,2020,118,Pertamax,"5,8"
135,Suzuki,Address,125,CVT,2023,97,Pertalite,"5,2"
136,Suzuki,Nex II,115,CVT,2024,93,Pertamax,"3,6"
137,Honda,Beat CBS,110,CVT,2018,89,Pertalite,"4,2"
138,Benelli,Panarea125,125,CVT,2020,107,Pertalite,"4,6"
139,Suzuki,Nex II,115,CVT,2025,93,Pertamax,"3,6"
140,Yamaha,Mio M3,125,CVT,2022,94,Pertalite,"4,2"
141,Honda,Vario 125,125,CVT,2025,112,Pertalite,"5,5"
142,Honda,Vario 125,125,CVT,2022,112,Pertalite,"5,5"
143,TVS,Ntorq125,125,CVT,2020,118,Pertalite,"5,8"
144,Suzuki,Address,125,CVT,2025,97,Pertamax,"5,2"
145,Yamaha,Fazzio,125,CVT,2021,95,Pertamax,"5,1"
146,Yamaha,Mio M3,125,CVT,2022,94,Pertamax,"4,2"
147,Yamaha,Fazzio,125,CVT,2018,95,Pertalite,"5,1"
148,Kawasaki,KLX150,150,CVT,2021,118,Pertamax,"6,9"
149,Kawasaki,KLX150,150,CVT,2022,118,Pertalite,"6,9"
150,Suzuki,Address,125,CVT,2023,97,Pertalite,"5,2"
151,Suzuki,Address,125,CVT,2024,97,Pertalite,"5,2"
152,Yamaha,Fazzio,125,CVT,2022,95,Pertalite,"5,1"
153,Benelli,Panarea125,125,CVT,2019,107,Pertalite,"4,6"
154,Honda,Beat CBS,110,CVT,2020,89,Pertamax,"4,2"
155,Suzuki,Address,125,CVT,2022,97,Pertalite,"5,2"
156,Kawasaki,W175,177,Manual,2025,126,Pertamax,"13,5"
157,Kawasaki,KLX150,150,CVT,2024,118,Pertamax,"6,9"
158,Benelli,Panarea125,125,CVT,2024,107,Pertamax,"4,6"
159,Benelli,Panarea125,125,CVT,2019,107,Pertalite,"4,6"
160,Benelli,Panarea125,125,CVT,2023,107,Pertalite,"4,6"
161,Kawasaki,W175,177,Manual,2023,126,Pertamax,"13,5"
162,Kawasaki,W175,177,Manual,2025,126,Pertamax,"13,5"
163,Yamaha,Fazzio,125,CVT,2025,95,Pertalite,"5,1"
164,Suzuki,Nex II,115,CVT,2019,93,Pertalite,"3,6"
165,Benelli,Panarea125,125,CVT,2021,107,Pertamax,"4,6"
166,Honda,PCX160,160,CVT,2023,132,Pertalite,"8,1"
167,Honda,Vario 125,125,CVT,2020,112,Pertalite,"5,5"
168,TVS,Ntorq125,125,CVT,2019,118,Pertalite,"5,8"
169,Kawasaki,KLX150,150,CVT,2021,118,Pertamax,"6,9"
170,Yamaha,Fazzio,125,CVT,2025,95,Pertalite,"5,1"
171,Kawasaki,KLX150,150,CVT,2018,118,Pertamax,"6,9"
172,Suzuki,Address,125,CVT,2024,97,Pertamax,"5,2"
173,Benelli,Panarea125,125,CVT,2022,107,Pertamax,"4,6"
174,Yamaha,NMAX155,155,CVT,2020,132,Pertamax,"7,1"
175,TVS,Ntorq125,125,CVT,2018,118,Pertamax,"5,8"
176,TVS,Ntorq125,125,CVT,2020,118,Pertamax,"5,8"
177,Kawasaki,KLX150,150,CVT,2024,118,Pertalite,"6,9"
178,Honda,PCX160,160,CVT,2020,132,Pertalite,"8,1"
179,Suzuki,Nex II,115,CVT,2019,93,Pertalite,"3,6"
180,Kawasaki,W175,177,Manual,2021,126,Pertamax,"13,5"
181,Yamaha,Fazzio,125,CVT,2019,95,Pertamax,"5,1"
182,Honda,Vario 125,125,CVT,2021,112,Pertamax,"5,5"
183,Benelli,Panarea125,125,CVT,2018,107,Pertamax,"4,6"
184,TVS,Ntorq125,125,CVT,2018,118,Pertamax,"5,8"
185,Kawasaki,KLX150,150,CVT,2020,118,Pertamax,"6,9"
186,Kawasaki,KLX150,150,CVT,2019,118,Pertalite,"6,9"
187,Honda,Beat CBS,110,CVT,2020,89,Pertamax,"4,2"
188,Honda,PCX160,160,CVT,2019,132,Pertamax,"8,1"
189,Honda,Beat CBS,110,CVT,2024,89,Pertalite,"4,2"
190,Yamaha,Fazzio,125,CVT,2025,95,Pertalite,"5,1"
191,Benelli,Panarea125,125,CVT,2025,107,Pertamax,"4,6"
192,TVS,Ntorq125,125,CVT,2021,118,Pertamax,"5,8"
193,Suzuki,Nex II,115,CVT,2021,93,Pertamax,"3,6"
194,Benelli,Panarea125,125,CVT,2022,107,Pertalite,"4,6"
195,Kawasaki,KLX150,150,CVT,2021,118,Pertamax,"6,9"
196,Kawasaki,KLX150,150,CVT,2025,118,Pertamax,"6,9"
197,Benelli,Panarea125,125,CVT,2024,107,Pertalite,"4,6"
198,Yamaha,NMAX155,155,CVT,2023,132,Pertamax,"7,1"
199,Suzuki,Nex II,115,CVT,2023,93,Pertalite,"3,6"
200,Benelli,Panarea125,125,CVT,2020,107,Pertalite,"4,6"
