training_id,brand,model,cc,transmission,year,weight_kg,fuel_tank_l,fuel_type,riding_style,avg_speed_kmh,rider_weight,city_percentage,fuel_consumption_kml
54,Benelli,Panarea125,125,CVT,2021,107,"4,6",Pertalite,Agresif,62,90,92,"37,8"
55,Kawasaki,W175,177,Manual,2022,126,"13,5",Pertamax,Santai,38,91,76,"37,5"
56,Yamaha,Mio M3,125,CVT,2021,94,"4,2",Pertamax,Agresif,57,67,83,"40,3"
57,TVS,Ntorq125,125,CVT,2022,118,"5,8",Pertalite,Normal,43,90,61,"44,7"
58,Yamaha,Mio M3,125,CVT,2025,94,"4,2",Pertamax,Agresif,46,73,78,"40,4"
59,Kawasaki,W175,177,Manual,2021,126,"13,5",Pertalite,Santai,40,55,33,"41,6"
60,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertamax,Santai,70,86,79,"43,9"
61,Honda,Beat CBS,110,CVT,2019,89,"4,2",Pertamax,Santai,59,66,43,"52,3"
62,Honda,Beat CBS,110,CVT,2021,89,"4,2",Pertamax,Santai,41,54,81,"53,3"
63,Honda,Vario 125,125,CVT,2020,112,"5,5",Pertalite,Santai,62,55,76,46
64,Benelli,Panarea125,125,CVT,2018,107,"4,6",Pertalite,Normal,40,55,34,"48,1"
65,Benelli,Panarea125,125,CVT,2022,107,"4,6",Pertamax,Santai,57,60,55,"47,8"
66,Suzuki,Address,125,CVT,2020,97,"5,2",Pertalite,Agresif,59,75,95,"37,8"
67,Suzuki,Nex II,115,CVT,2022,93,"3,6",Pertamax,Santai,42,51,93,"48,9"
68,TVS,Ntorq125,125,CVT,2022,118,"5,8",Pertalite,Normal,61,65,39,"45,9"
69,Yamaha,Mio M3,125,CVT,2019,94,"4,2",Pertamax,Normal,43,81,38,"46,7"
70,Benelli,Panarea125,125,CVT,2019,107,"4,6",Pertamax,Agresif,69,63,60,"38,5"
71,Suzuki,Nex II,115,CVT,2018,93,"3,6",Pertamax,Santai,53,53,68,"50,2"
72,TVS,Ntorq125,125,CVT,2022,118,"5,8",Pertamax,Normal,46,58,56,"48,9"
73,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertalite,Normal,62,67,35,"44,7"
74,Yamaha,NMAX155,155,CVT,2022,132,"7,1",Pertamax,Santai,64,74,50,"42,6"
75,Honda,Vario 125,125,CVT,2019,112,"5,5",Pertamax,Normal,36,90,95,"43,9"
76,Suzuki,Address,125,CVT,2021,97,"5,2",Pertamax,Agresif,61,72,49,"40,7"
77,Benelli,Panarea125,125,CVT,2019,107,"4,6",Pertalite,Normal,69,73,31,"43,7"
78,TVS,Ntorq125,125,CVT,2025,118,"5,8",Pertamax,Agresif,52,95,33,43
79,Suzuki,Address,125,CVT,2025,97,"5,2",Pertamax,Normal,69,89,69,"43,2"
80,Honda,Beat CBS,110,CVT,2020,89,"4,2",Pertalite,Normal,65,71,77,"46,9"
81,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertamax,Agresif,36,71,76,"43,5"
82,Yamaha,Mio M3,125,CVT,2018,94,"4,2",Pertamax,Santai,52,84,36,"50,9"
83,Suzuki,Nex II,115,CVT,2018,93,"3,6",Pertamax,Santai,58,51,81,"48,4"
84,Benelli,Panarea125,125,CVT,2018,107,"4,6",Pertamax,Normal,60,71,58,"46,2"
85,TVS,Ntorq125,125,CVT,2023,118,"5,8",Pertamax,Agresif,63,85,61,"38,9"
86,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertalite,Normal,38,51,84,46
87,Kawasaki,W175,177,Manual,2024,126,"13,5",Pertalite,Santai,51,70,46,"40,4"
88,TVS,Ntorq125,125,CVT,2025,118,"5,8",Pertalite,Santai,38,65,30,"46,9"
89,Suzuki,Address,125,CVT,2025,97,"5,2",Pertamax,Agresif,63,65,34,"42,1"
90,Kawasaki,W175,177,Manual,2022,126,"13,5",Pertalite,Normal,68,70,95,"33,9"
91,Benelli,Panarea125,125,CVT,2018,107,"4,6",Pertalite,Normal,60,83,61,"42,5"
92,Benelli,Panarea125,125,CVT,2021,107,"4,6",Pertamax,Santai,56,90,70,"47,1"
93,TVS,Ntorq125,125,CVT,2024,118,"5,8",Pertalite,Santai,40,81,60,"47,2"
94,Yamaha,Fazzio,125,CVT,2021,95,"5,1",Pertamax,Normal,46,71,65,"48,6"
95,Kawasaki,KLX150,150,CVT,2021,118,"6,9",Pertalite,Agresif,57,84,79,"35,4"
96,Yamaha,NMAX155,155,CVT,2021,132,"7,1",Pertalite,Agresif,45,83,82,"34,8"
97,Kawasaki,W175,177,Manual,2022,126,"13,5",Pertalite,Normal,57,71,83,"36,8"
98,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertalite,Santai,54,54,70,"47,3"
99,Benelli,Panarea125,125,CVT,2023,107,"4,6",Pertamax,Normal,36,85,62,"44,6"
100,Honda,Vario 125,125,CVT,2020,112,"5,5",Pertalite,Normal,65,63,69,"42,4"
101,Suzuki,Address,125,CVT,2019,97,"5,2",Pertamax,Santai,59,67,72,"47,1"
102,Benelli,Panarea125,125,CVT,2021,107,"4,6",Pertamax,Normal,63,62,91,"45,6"
103,Yamaha,Mio M3,125,CVT,2020,94,"4,2",Pertalite,Normal,61,80,71,"44,4"
104,Honda,Vario 125,125,CVT,2021,112,"5,5",Pertamax,Santai,65,58,83,"46,9"
105,Benelli,Panarea125,125,CVT,2019,107,"4,6",Pertalite,Agresif,54,56,89,"41,1"
106,TVS,Ntorq125,125,CVT,2018,118,"5,8",Pertalite,Santai,62,77,30,"47,3"
107,Honda,Vario 125,125,CVT,2018,112,"5,5",Pertalite,Agresif,40,57,93,"41,6"
108,Kawasaki,W175,177,Manual,2019,126,"13,5",Pertalite,Agresif,37,59,92,"30,3"
109,Honda,PCX160,160,CVT,2020,132,"8,1",Pertalite,Normal,62,95,77,"36,7"
110,TVS,Ntorq125,125,CVT,2024,118,"5,8",Pertamax,Santai,36,95,49,"46,6"
111,Suzuki,Address,125,CVT,2023,97,"5,2",Pertamax,Santai,47,51,66,"48,2"
112,Kawasaki,KLX150,150,CVT,2018,118,"6,9",Pertalite,Santai,61,52,95,41
113,Honda,PCX160,160,CVT,2023,132,"8,1",Pertamax,Normal,66,79,82,"37,7"
114,Honda,Beat CBS,110,CVT,2025,89,"4,2",Pertamax,Santai,60,90,90,"46,7"
115,Kawasaki,W175,177,Manual,2024,126,"13,5",Pertamax,Normal,59,89,70,"34,7"
116,Kawasaki,W175,177,Manual,2024,126,"13,5",Pertamax,Normal,46,66,75,"40,1"
117,Suzuki,Address,125,CVT,2021,97,"5,2",Pertalite,Santai,41,60,56,"50,1"
118,Kawasaki,KLX150,150,CVT,2024,118,"6,9",Pertamax,Santai,48,70,71,"44,3"
119,Suzuki,Nex II,115,CVT,2021,93,"3,6",Pertamax,Normal,66,93,84,"46,2"
120,Honda,Beat CBS,110,CVT,2025,89,"4,2",Pertalite,Agresif,46,94,95,"41,1"
121,Benelli,Panarea125,125,CVT,2018,107,"4,6",Pertalite,Normal,68,77,75,"40,9"
122,TVS,Ntorq125,125,CVT,2019,118,"5,8",Pertalite,Normal,36,66,35,"47,2"
123,Honda,PCX160,160,CVT,2022,132,"8,1",Pertamax,Santai,38,70,51,"43,9"
124,Benelli,Panarea125,125,CVT,2023,107,"4,6",Pertamax,Normal,48,70,60,"47,8"
125,Kawasaki,W175,177,Manual,2023,126,"13,5",Pertamax,Normal,52,94,75,"38,4"
126,Suzuki,Nex II,115,CVT,2022,93,"3,6",Pertalite,Normal,66,88,31,"45,8"
127,TVS,Ntorq125,125,CVT,2022,118,"5,8",Pertalite,Normal,49,54,74,"43,8"
128,Suzuki,Address,125,CVT,2022,97,"5,2",Pertalite,Normal,35,78,82,44
129,Kawasaki,KLX150,150,CVT,2022,118,"6,9",Pertamax,Santai,69,54,59,41
130,TVS,Ntorq125,125,CVT,2025,118,"5,8",Pertalite,Normal,60,80,41,"44,3"
131,Suzuki,Nex II,115,CVT,2021,93,"3,6",Pertamax,Agresif,59,53,81,"41,8"
132,Suzuki,Address,125,CVT,2025,97,"5,2",Pertalite,Normal,53,86,87,"45,4"
133,Honda,Beat CBS,110,CVT,2018,89,"4,2",Pertalite,Agresif,57,95,80,"39,8"
134,TVS,Ntorq125,125,CVT,2020,118,"5,8",Pertamax,Santai,57,95,57,"48,2"
135,Suzuki,Address,125,CVT,2023,97,"5,2",Pertalite,Normal,47,78,48,"44,5"
136,Suzuki,Nex II,115,CVT,2024,93,"3,6",Pertamax,Santai,43,66,72,"51,8"
137,Honda,Beat CBS,110,CVT,2018,89,"4,2",Pertalite,Normal,37,90,32,"50,7"
138,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertalite,Normal,41,93,58,"46,5"
139,Suzuki,Nex II,115,CVT,2025,93,"3,6",Pertamax,Normal,45,57,82,"47,3"
140,Yamaha,Mio M3,125,CVT,2022,94,"4,2",Pertalite,Agresif,58,79,64,"41,8"
141,Honda,Vario 125,125,CVT,2025,112,"5,5",Pertalite,Agresif,64,67,49,"38,5"
142,Honda,Vario 125,125,CVT,2022,112,"5,5",Pertalite,Normal,38,74,70,"45,7"
143,TVS,Ntorq125,125,CVT,2020,118,"5,8",Pertalite,Santai,46,77,48,"49,3"
144,Suzuki,Address,125,CVT,2025,97,"5,2",Pertamax,Normal,51,69,38,"47,9"
145,Yamaha,Fazzio,125,CVT,2021,95,"5,1",Pertamax,Santai,54,53,67,"48,9"
146,Yamaha,Mio M3,125,CVT,2022,94,"4,2",Pertamax,Normal,45,56,49,"48,3"
147,Yamaha,Fazzio,125,CVT,2018,95,"5,1",Pertalite,Agresif,41,63,86,"41,3"
148,Kawasaki,KLX150,150,CVT,2021,118,"6,9",Pertamax,Agresif,54,78,79,"36,6"
149,Kawasaki,KLX150,150,CVT,2022,118,"6,9",Pertalite,Normal,61,94,49,"38,6"
150,Suzuki,Address,125,CVT,2023,97,"5,2",Pertalite,Santai,51,92,95,"44,2"
151,Suzuki,Address,125,CVT,2024,97,"5,2",Pertalite,Santai,56,71,57,"48,2"
152,Yamaha,Fazzio,125,CVT,2022,95,"5,1",Pertalite,Agresif,39,58,81,"41,1"
153,Benelli,Panarea125,125,CVT,2019,107,"4,6",Pertalite,Normal,69,64,85,43
154,Honda,Beat CBS,110,CVT,2020,89,"4,2",Pertamax,Santai,55,58,38,"53,4"
155,Suzuki,Address,125,CVT,2022,97,"5,2",Pertalite,Normal,52,64,43,"47,2"
156,Kawasaki,W175,177,Manual,2025,126,"13,5",Pertamax,Agresif,36,76,44,"34,8"
157,Kawasaki,KLX150,150,CVT,2024,118,"6,9",Pertamax,Agresif,48,88,92,"36,9"
158,Benelli,Panarea125,125,CVT,2024,107,"4,6",Pertamax,Santai,51,59,63,"50,1"
159,Benelli,Panarea125,125,CVT,2019,107,"4,6",Pertalite,Normal,54,58,64,"44,7"
160,Benelli,Panarea125,125,CVT,2023,107,"4,6",Pertalite,Normal,69,79,80,"40,7"
161,Kawasaki,W175,177,Manual,2023,126,"13,5",Pertamax,Normal,53,60,41,"39,3"
162,Kawasaki,W175,177,Manual,2025,126,"13,5",Pertamax,Santai,45,67,43,"43,2"
163,Yamaha,Fazzio,125,CVT,2025,95,"5,1",Pertalite,Agresif,38,94,74,"38,2"
164,Suzuki,Nex II,115,CVT,2019,93,"3,6",Pertalite,Normal,54,67,95,"47,6"
165,Benelli,Panarea125,125,CVT,2021,107,"4,6",Pertamax,Santai,37,73,62,"49,6"
166,Honda,PCX160,160,CVT,2023,132,"8,1",Pertalite,Santai,53,73,62,"42,8"
167,Honda,Vario 125,125,CVT,2020,112,"5,5",Pertalite,Normal,49,79,48,"45,1"
168,TVS,Ntorq125,125,CVT,2019,118,"5,8",Pertalite,Normal,56,83,63,"44,6"
169,Kawasaki,KLX150,150,CVT,2021,118,"6,9",Pertamax,Normal,57,62,80,42
170,Yamaha,Fazzio,125,CVT,2025,95,"5,1",Pertalite,Normal,38,50,48,"48,3"
171,Kawasaki,KLX150,150,CVT,2018,118,"6,9",Pertamax,Agresif,41,63,65,"39,5"
172,Suzuki,Address,125,CVT,2024,97,"5,2",Pertamax,Normal,39,50,36,"47,3"
173,Benelli,Panarea125,125,CVT,2022,107,"4,6",Pertamax,Normal,53,90,56,"46,2"
174,Yamaha,NMAX155,155,CVT,2020,132,"7,1",Pertamax,Santai,61,73,93,"42,4"
175,TVS,Ntorq125,125,CVT,2018,118,"5,8",Pertamax,Normal,54,81,43,47
176,TVS,Ntorq125,125,CVT,2020,118,"5,8",Pertamax,Santai,54,95,79,"47,7"
177,Kawasaki,KLX150,150,CVT,2024,118,"6,9",Pertalite,Normal,41,82,75,"40,8"
178,Honda,PCX160,160,CVT,2020,132,"8,1",Pertalite,Agresif,65,74,44,"33,8"
179,Suzuki,Nex II,115,CVT,2019,93,"3,6",Pertalite,Santai,57,92,91,47
180,Kawasaki,W175,177,Manual,2021,126,"13,5",Pertamax,Normal,63,58,42,"38,9"
181,Yamaha,Fazzio,125,CVT,2019,95,"5,1",Pertamax,Santai,46,80,47,"50,9"
182,Honda,Vario 125,125,CVT,2021,112,"5,5",Pertamax,Normal,44,53,74,"47,3"
183,Benelli,Panarea125,125,CVT,2018,107,"4,6",Pertamax,Santai,65,94,88,"43,3"
184,TVS,Ntorq125,125,CVT,2018,118,"5,8",Pertamax,Santai,37,86,72,"45,9"
185,Kawasaki,KLX150,150,CVT,2020,118,"6,9",Pertamax,Agresif,68,89,71,"33,6"
186,Kawasaki,KLX150,150,CVT,2019,118,"6,9",Pertalite,Normal,48,90,70,"40,6"
187,Honda,Beat CBS,110,CVT,2020,89,"4,2",Pertamax,Normal,69,56,38,"46,3"
188,Honda,PCX160,160,CVT,2019,132,"8,1",Pertamax,Normal,39,55,76,"41,5"
189,Honda,Beat CBS,110,CVT,2024,89,"4,2",Pertalite,Normal,39,88,58,"46,3"
190,Yamaha,Fazzio,125,CVT,2025,95,"5,1",Pertalite,Normal,36,65,49,"47,4"
191,Benelli,Panarea125,125,CVT,2025,107,"4,6",Pertamax,Santai,48,82,78,"46,6"
192,TVS,Ntorq125,125,CVT,2021,118,"5,8",Pertamax,Normal,63,59,35,"44,5"
193,Suzuki,Nex II,115,CVT,2021,93,"3,6",Pertamax,Normal,49,86,81,"47,3"
194,Benelli,Panarea125,125,CVT,2022,107,"4,6",Pertalite,Normal,36,83,68,"45,9"
195,Kawasaki,KLX150,150,CVT,2021,118,"6,9",Pertamax,Normal,58,52,38,"40,9"
196,Kawasaki,KLX150,150,CVT,2025,118,"6,9",Pertamax,Normal,43,74,54,"43,1"
197,Benelli,Panarea125,125,CVT,2024,107,"4,6",Pertalite,Normal,40,91,31,"47,4"
198,Yamaha,NMAX155,155,CVT,2023,132,"7,1",Pertamax,Agresif,67,66,77,"34,1"
199,Suzuki,Nex II,115,CVT,2023,93,"3,6",Pertalite,Normal,36,80,43,"46,6"
200,Benelli,Panarea125,125,CVT,2020,107,"4,6",Pertalite,Santai,41,75,60,"48,1"
